reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
32b15299-b677-4230-bb52-2c858465ba40,shashank shandilya,https://play-lh.googleusercontent.com/a-/ALV-UjWC0exKvC5HUHbjHrKL8u-Yc_COvK8XZp1JO0TXzdIOsg,Almost paid whatever they asked for...but no response. You guys just making money and playing with others emotion.,1,0,5.359.1,2024-03-12 16:48:01,"Hey Shashank! We're sorry to hear about this. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport), and we'd be happy to help.",2024-03-14 22:33:23,5.359.1
0819fc68-69db-4f28-9488-cbba05b5924d,James Bond,https://play-lh.googleusercontent.com/a/ACg8ocI_Hh6j32XEd8fjsKZfTYVa3Rj5T_e_glWTwlE-iN5M=mo,"Instantly ask me to change filters selections after a few interest, single guy looking for women, empty screen stayed that way for months, uninstall..",1,0,,2024-03-12 15:40:39,"Hi James! It looks like you've run out of members to swipe on right now. Don't worry though, there are always new bees joining the Hive daily! We recommend checking back in after 24 hours and if you can try expanding your preferences and removing any Advanced Filters to introduce new bees into your swipe queue! 💛",2024-03-14 22:32:23,
16846c44-5a72-4095-8d85-ebb23a786fdc,Darren Kelly,https://play-lh.googleusercontent.com/a/ACg8ocLLcdj84LKAAlz-Y3FeroQCWw2CmSY-x5NkfEdf_UKV=mo,Cyrus 5th year is ⁶and has been busy ⁶the,3,0,5.359.1,2024-03-12 15:39:18,"Hi Darren! Thanks for the review. If you have any suggestions or improvements, feel free to contact us at @bumblesupport on Twitter or bumble.com/contact. 💌",2024-03-14 22:38:52,5.359.1
7dffa07d-55c2-4799-b57a-37debacdaa43,Julie Olivia,https://play-lh.googleusercontent.com/a/ACg8ocLbBMYI5QfZsyTJ6pfKqwLkA6qrGid5lvi9QDRnog6g=mo,Find soulmate,1,0,5.359.1,2024-03-12 15:28:55,"We're sorry to hear about this. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-13 00:20:24,5.359.1
7a7cf659-836e-48e8-a022-d8e841d9b69e,karnati sampath,https://play-lh.googleusercontent.com/a/ACg8ocKp04nkOHJZubl2whgEA_0cgHbGJBPa9Bh20EXEfkk=mo,Worst app I have never seen most of them are fake profiles always asking to upgrade for premium when I paid to premium. They will show no results for half day at the time of expiry they will show few profiles and again they will ask to upgrade for premium,1,1,5.359.1,2024-03-12 15:28:53,"We take fake profiles seriously on our platform and have a team dedicated to investigating suspicious accounts. If you’re ever unsure about a profile, please report them in the app and we'll investigate right away!",2024-03-13 00:19:54,5.359.1
e8950739-240c-4d14-b065-151ec9e880b5,preston broderick,https://play-lh.googleusercontent.com/a/ACg8ocJgEg0hJ9CiRPdqCjV-OTeu-nU8XRPiIEc-uhJ9uYWF=mo,"It counts your swipe left as a swipe right, not giving you the person but taking away one of your limited amount of swipe rights. You have to pay or you won't get any matches.",1,0,5.361.0,2024-03-12 14:59:49,"Thank you for your feedback. We're always working to increase the number of genuine, quality connections for our members. We've incorporated a swipe limit to encourage more intentional swiping and increase the chances of making great connections. You're always welcome to upgrade your account to Premium if you'd like to have unlimited swipes.",2024-03-13 00:19:23,5.361.0
a70cb176-cc1e-4a77-9e22-e5ba5b272a30,E NS,https://play-lh.googleusercontent.com/a-/ALV-UjWYCivg2xIe7tRvK2LUU1_qA78x622Et1qHJOyK9e2l7L9_,"This app is trash for women over 40. First, no option to weed out travelers (even as a subscriber) and there are a LOT. Most men I'm matched with aren't even capable of taking a good photo. And when they do they look like psycho killers. The ""spotlight"" feature and ""Beeline"" don't help get better matches. Never met anyone in person and think I chatted with 1 person in 3 months.",2,0,5.359.1,2024-03-12 14:42:45,We're sorry to hear you haven't had the best experience on Bumble. For ideas to improve your profile check out these resources (1) bumble.com/the-buzz/best-bumble-profile-photo-tips and (2) bumble.com/help/i-m-not-getting-any-matches.,2024-03-13 00:18:24,5.359.1
f2813228-d3af-483e-ae30-33c49d671bd9,Pedro ?,https://play-lh.googleusercontent.com/a/ACg8ocKUvX9sh_fompW3Iu4tlrbwU6X2Dm5ZeaKq7ky_09kbrg=mo,what a cash grab app for guys ... it's so dumb to charge so much for so little.. worthless app honestly.,1,0,,2024-03-12 14:41:56,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-03-12 16:11:54,
68146431-624a-4b85-9cdb-22235e3ee920,Ana Rozy,https://play-lh.googleusercontent.com/a/ACg8ocLcgB4ADwbXNGT1wZwPF1qQpXGFQja6y20hSzPSWLoE=mo,"Just a waste of time downloading this app, it charges you even for liking e.g swiping right.",1,0,,2024-03-12 14:29:18,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-03-12 16:11:53,
3ce1ed5b-1793-4db8-9fbe-b6d44df89a8f,Aisha Yolam,https://play-lh.googleusercontent.com/a/ACg8ocJXnFUtFvaJAw80WDcFtHjCU4V_FYKM9AAPOr1ZSWi4=mo,Love Sweet,5,0,5.359.1,2024-03-12 13:57:29,We appreciate your kind words. 🙌,2024-03-12 16:11:23,5.359.1
